url,title,content,topic,datetime,views,comments_amount
https://www.fontanka.ru/2023/01/30/72018074/,"Суд в Краснодаре разбирался, что делать с семейной парой, критиковавшей боевые действия в ресторане","Ленинский районный суд города Краснодара назначил наказание для семейной пары. Обоих супругов задержали в ресторане после критических высказываний о проводимых Россией боевых действиях на Украине. Об этом 30 января сообщает городской портал 93.RU. По статье о мелком хулиганстве местную жительницу Олесю Овчинникову оштрафовали на 1000 руб., а ее мужа Алексея за то же правонарушение наказали 15 сутками ареста.По словам адвоката супругов Алексея Аванесяна, на данный момент протокол по ст. 20.3.3. КоАП (публичная дискредитация ВС РФ) составлен в отношении девушки. Он будет направлен в суд позднее.  Ранее сообщалось, что правоохранителей в ресторан вызвал сам хозяин заведения. При этом по словам самих супругов, свои мнения они высказывали исключительно в личном разговоре за столом. «Фонтанка» также писала, что в Ростове-на-Дону по статье о фейках об армии судят полковника Росгвардии.",Общество,2023-01-30 23:50:00,21550,60
https://www.fontanka.ru/2023/01/30/72018062/,В Ростове-на-Дону по статье о фейках судят полковника Росгвардии. Он изменился с началом событий на Украине,"В Ростове-на-Дону гарнизонный военный суд рассматривает уголовное дело в отношении полковника Росгвардии Валерия Котовича. Мужчину обвиняют в распространении заведомо ложной информации об использовании ВС РФ. Об этом вечером 30 января сообщает «Коммерсант».Судебный процесс по делу Котовича продолжается с декабря 2022 года. На заседании, которое прошло в понедельник, состоялся допрос двух свидетелей — начальников подсудимого. Известно, что фигурант дела родом с Украины. Он окончил Харьковский военный институт МВД и служил во внутренних войсках Украины на территории Крыма. Уже в 2014 году получил российское гражданство и устроился в правоохранительные органы России. С 2020 года он занимает должность начальника отдела закупок в Южном центре материально-технического обеспечения Росгвардии (ФКУ «Южный ЦМТО Росгвардии»).  Конфликты с коллегами, рассказали начальники подсудимого, начались у Котовича после начала военных действий на территории Украины. Из-за этого он якобы также поссорился с братом и знакомыми, живущими на территории Украины.  Некоторые рассказывали начальству, что мужчина будто бы говорил им об агрессивных действиях ВС РФ, из-за которых страдает мирное население. При этом оба свидетеля уточнили, что знают о конфликтах и позиции Котовича только от подчиненных, им самим он ничего подобного не говорил.  По словам подсудимого, отношение к нему после начала СВО стало меняться. Так, 27 февраля ему вынесли первое взыскание за всё время службы. Позиция Котовича по делу неизвестна: его защита отказалась от общения со СМИ. Следующее заседание пройдет в начале февраля, где планируют продолжить допрос свидетелей.",Общество,2023-01-30 23:01:00,16400,41
https://www.fontanka.ru/2023/01/30/72018056/,Кабмин разъяснил порядок исполнения указа Путина об ответе на потолок цен на нефть,"Правительство России опубликовало разъяснения к указу президента РФ Владимира Путина об ответных мерах на потолок цен на нефть. Соответствующее постановление было обнародовано 30 января на интернет-портале правовой информации.Так, до 1 марта Министерство энергетики и Министерство финансов страны должны будут утвердить порядок мониторинга цен на нефть, которая поставляется на экспорт. Кроме того, кабмин поручил экспортерам нефти и нефтепродуктов РФ мониторить неприменение потолка цен до конечного покупателя.Напомним, 27 декабря 2022 года президент России Владимир Путин подписал указ, согласно которому российская нефть не может быть продана с учетом потолка цен, предусмотренного в контрактах. Исключения могут быть возможны на основании специального решения президента. ",Власть,2023-01-30 22:49:00,8815,7
https://www.fontanka.ru/2023/01/30/72018059/,"СКА впервые в сезоне проиграл «Торпедо», которое осталось без сильнейших хоккеистов","Поражением хоккейного клуба СКА завершился матч регулярного чемпионата КХЛ против «Торпедо» из Нижнего Новгорода. Встреча проходила 30 января в Петербурге. Армейцы с Невы уступили со счетом 1:2. Основное и дополнительное время завершилось со счетом 1:1. Сначала СКА вывел вперед Дмитрий Яшкин на 11-й минуте. Максим Летунов сравнял на 51-й. В серии буллитов сильнее оказалось «Торпедо». Победный бросок нанес Артем Михеев. Отметим, что в составе «Торпедо» в этом матче отсутствовали сильнейшие форварды команды — Алексей Кручинин (первый бомбардир), Николай Коваленко (второй) и Сергей Гончарук (четвертый). Тем не менее именно в этих условиях команде из Нижнего Новгорода удалось впервые в сезоне обыграть петербургский клуб. Для СКА это поражение стало 14-м в 57 матчах регулярного сезона. Петербуржцы продолжают лидировать в турнирной таблице Западной конференции. Следующий матч СКА проведет в Петербурге 1 февраля против ярославского «Локомотива».",Спорт,2023-01-30 22:37:00,6490,0
https://www.fontanka.ru/2023/01/30/72018026/,Брать или не брать? Пересядет ли Петербург на японские «праворульки»,"Вы, скорее всего, уже забыли, а молодежь и не застала, как еще не так давно по Петербургу гоняли в больших количествах на праворульных иномарках. Когда чуть ли не в каждом дворе появилось по пять официальных автосалонов, диковину предали забвению. Но сейчас на рынке острый дефицит уже не то что новых, но и подержанных — за приличную цену — машин, и в сегменте праворульных автомобилей снова горячо. Текстовую версию материала читайте в статье Дениса Лебедева и Натальи Вязовкиной. ",Авто,2023-01-30 22:22:00,20623,63
https://www.fontanka.ru/2023/01/30/72018044/,«Дальневосточный маршрут». Россия и Китай подготовили соглашение по поставкам газа,"Россия и КНР подготовили межправительственное соглашение по поставкам газа по «дальневосточному маршруту». Проект предполагает строительство трансграничного участка через реку Уссури до китайского города Хулинь.Как следует из текста документа, опубликованного 30 января на официальном портале правовой информации, «соглашение заключается в целях укрепления сотрудничества сторон в энергетической сфере» и определяет основные условия сотрудничества сторон в части поставок природного газа из РФ в Китай.Ранее «Фонтанка» писала, что объем экспорта российского газа в Китай по газопроводу «Сила Сибири» в рамках двустороннего долгосрочного контракта между «Газпромом» и CNPC в период с января по июль 2022 года вырос на 60,9%.",Власть,2023-01-30 22:14:00,5892,2
https://www.fontanka.ru/2023/01/30/72018035/,"Речь шла и о карточном долге. В Иркутской области сына с матерью убили и расчленили, останки два дня вывозили на такси","В жестоком убийстве подозревают 24-летнего мужчину из Иркутска. Следователи считают, что он зарезал 57-летнего мужчину и его 86-летнюю мать, расчленил их трупы и два дня вывозил останки на такси. Об этом 30 января сообщает СУ СКР по Иркутской области. Обвиняемый пришел в квартиру к своему знакомому — хозяин квартиры обещал помочь молодому человеку вернуть карточный долг, который тот выиграл в Улан-Удэ весной прошлого года. Мужчины были пьяны, в какой-то момент между ними возник спор, и гость нанес сопернику несколько ударов ножом. Однако свидетелем произошедшего оказалась мать хозяина квартиры. С пожилой женщиной молодой иркутянин расправился тоже. После этого 24-летний мужчина скрылся с места преступления, захватив ключи от квартиры. Он вернулся на следующий день и начал избавляться от следов преступления — расчленил трупы и упаковал их в мусорные мешки. Затем в течение двух дней вывозил останки на такси в одно из садоводств Иркутского района. «Далее он арендовал гараж в черте города, куда в дальнейшем перевёз тела погибших», — добавили в СК. Подозреваемого задержали в одном из компьютерных клубов Иркутска. Им оказался 24-летний уроженец Бурятии, ранее судимый за совершение кражи и грабежа.",Происшествия,2023-01-30 21:59:00,16222,14
https://www.fontanka.ru/2023/01/30/72018032/,"«Простить нельзя». «Фонтанка» рассказывает о незрячей петербурженке, побитой у парка Сосновка","«Фонтанка» съездила в гости к Виктории Зыряновой, на которую в пятницу, 27 января, на остановке общественного транспорта напала мать с ребёнком.Виктория раньше работала реставратором, но в 30 лет зрение начало ухудшаться — карьеру пришлось закончить. Потом петербурженка выучилась на мануального терапевта, сейчас это её профессия. Также Виктория выучилась на кинолога и создала Северо-Западный центр по подготовке специальных собак «Симаргл». Женщина намерена добиться правосудия: по её мнению, случаи агрессии в адрес незрячих заминаются слишком часто. Примиряться с обидчицей она не хочет.",Происшествия,2023-01-30 21:45:00,27712,56
https://www.fontanka.ru/2023/01/30/72017687/,"«Было не лицо, а просто каша». Жестокой драке у клуба на Крыленко мог предшествовать словесный конфликт","Драка у стриптиз-клуба на улице Крыленко в Петербурге могла вспыхнуть из-за резкой фразы, прозвучавшей в адрес охранников. Те отказались пускать посетителей обратно в заведение. Своей версией произошедшего вечером 30 января с «Фонтанкой» поделился Василий, которому пришлось возить приятелей по городу в поисках медпомощи. Двое избитых, по его словам, работают водителями в его фирме по аренде спецтехники. Вечером в субботу Олег и Денис — так зовут побитых — отправились в заведение вместе с приятелем Максимом. Позже к ним подсел ранее незнакомый человек. Завязалась беседа, но вскоре что-то пошло не так. «Ребята (Олег и Денис. — Прим. ред.) вышли на улицу из-за спора, что-то обсудить. Но назад их не пустили охранники без объяснения причин. Однако стол был депозитный, то есть уже оплаченный», — рассказал Василий. Пока за пределами здания руками, ногами и дубинками избивали мужчин, внутри находился ни о чём не подозревавший Максим. Произошедшее он называет абсурдом и не понимает, что конкретно могло привести к таким серьёзным последствиям.«Вышли два моих друга. С ними был мужчина, имя которого я не помню: мы познакомились, когда были в клубе. Я заказал себе пива за барной стойкой, а потом пошёл в уборную. Возвращаюсь — а там никого. Смотрю, лежит только свитер. Я его взял и вышел. Краем глаза видел какую-то потасовку. Насколько я знаю своих ребят, в таких делах они в принципе не участвуют. Мы пришли с целью отдохнуть, у нас не было цели с кем-то подраться», — объяснил Максим. Хорошими товарищами и людьми пострадавших называет и Василий. Начальник подъехал на Крыленко минут через десять после драки — позвонил Денис. Он встретил его с переломанными руками. Второй — Олег — лежал в окружении толпы с пробитой головой.«У Олега было не лицо, а просто каша. Он был без сознания. Я говорю одному из охранников: «Скорую вызывай». Они мне: «Ты кто такой?» Начал доставать телефон — они меня послали. Я говорю: «Я никуда не пойду. Дайте я их просто заберу, скорую вызывать не буду». На том и сошлись», — вспомнил мужчина. Сначала Василий довёз пострадавших до травмпункта — оттуда их отправили в больницу. Ближайшей была Александровская. «Я подъехал ко входу, мы выгрузили Олега. Забежал в больницу, начал орать: «Помогите, человек без сознания в крови с пробитой головой!» Нам выделили кушетку, Денису дали кресло-каталку, и мы поехали в реанимацию. Там дело было уже за врачами. Мне сказали: «Идите. Вы здесь не нужны».В самом заведении на Крыленко, 21, нам рассказали, что о случившемся знают, но сотрудники клуба к драке не причастны. «Суть в том, что пьяные товарищи ломились в заведение, а администратор их не пускал, а потом они подрались с двумя другими гостями, с которыми у них был словесный конфликт. У нас вообще в принципе нет охранников. Администратор стоит на входе, отвечает за фейс-контроль, и у нас маленькое заведение», — объяснили там. По данным «Фонтанки», охранники там всё же есть, но устроены неофициально. Ранее мы рассказывали про двух петербуржцев, которые пошли в ночное заведение на Крыленко, а в итоге оказались в больнице с травмами. Побоище попало на видео. «Тяжелый» 30-летний пациент попал в реанимацию. Его 34-летний товарищ рассказал, что их избили неизвестные. Вечером того же дня в полицию с повинной пришли двое — 23 и 38 лет. Их задержали по уголовному делу об умышленном причинении тяжкого вреда здоровью. По нашим сведениям, раньше они закон не нарушали.",Происшествия,2023-01-30 21:30:00,33044,49
https://www.fontanka.ru/2023/01/30/72017987/,"А может, лучше в Иран? Куда улететь петербуржцу в февральские праздники без катастрофы для кошелька","«Фонтанка» выяснила, куда податься на февральские длинные праздники и сколько это стоит. Сразу предупреждаем — цены не такие уж и шокирующие (от 60 тысяч), но некоторые позиции все же доступны только очень толстым кошелькам. Текстовую версию материала читайте в статье Натальи Вязовкиной.",Общество,2023-01-30 21:27:00,13646,48
