url,title,content,topic,datetime,views,comments_amount
https://www.fontanka.ru/2023/03/16/72139379/,«Ъ» рассказал об отказах в заправке нескольких самолетов российских авиакомпаний в Турции,"Появились признаки того, что аэропорты в Турции начали отказывать в заправке самолетам российских авиакомпаний, которые внесены в санкционный список США. Как пишут турецкие СМИ, страна внесла в собственный черный список 44 самолета. Однако, как выяснил 16 марта «Коммерсантъ», подтверждены только два случая отказа в заправке, причем все самолеты вернулись в Россию.Источники «Ъ» считают, что проблема еще не носит массовый характер и «в любом случае решится», учитывая важность российского турпотока для Турции. Возможно, будет создана альтернативная турецкая обслуживающая структура, которая будет работать с риском санкций, либо возможны полеты с промежуточной посадкой для дозаправки на юге РФ.  Как пишет профильное турецкое издание AirportHaber, в Турции власти приняли решение запретить заправку и техническое обслуживание самолетов американского производства из России и Белоруссии. Источники «Коммерсанта» в авиакомпаниях России подтвердили существование проблемы и заверили, что уже работают над ее решением. ",Туризм,2023-03-16 23:26:00,12392,23
https://www.fontanka.ru/2023/03/16/72139370/,"В Испании одобрили закон, который запрещает владельцам собак оставлять их в одиночестве более чем на сутки","В Испании конгресс депутатов (нижняя палата парламента) одобрил законопроект о защите прав и благополучии животных, он готов к вступлению в силу. Об этом 16 марта сообщает ТАСС со ссылкой на пресс-релиз парламента страны.В тексте инициативы сказано, что владельцы собак обязаны пройти бесплатный образовательный курс. Это содействует «надлежащему ответственному владению». В числе аспектов также порядок участия животных в ярмарках и культурных мероприятиях, например выставках. Законом предусмотрен запрет на продажу собак, кошек и хорьков в зоомагазинах и их выставление на всеобщее обозрение в коммерческих целях. Продавать их можно будет лишь зарегистрированным заводчикам.  Там же говорится, что владельцам собак нельзя будет оставлять их одних более чем на 24 часа, в противном случае нарушителей будут штрафовать на сумму от 500 до 200 тысяч евро.",Общество,2023-03-16 22:55:00,6373,20
https://www.fontanka.ru/2023/03/16/72138575/,Два участка «Скандинавии» станут реверсивными под Выборгом,"На федеральной трассе А-181 «Скандинавия» в Выборгском районе Ленинградской области в пятницу, 17 марта, введут реверсивное движение на двух участках. Там будут монтировать энергоснабжение для наружного освещения.С 12:00 до 13:00 реверсивное движение введут на 104 километре автодороги «Скандинавия», неподалеку от поселка Ровное, а с 13:00 до 14:00 — на 122 километре, недалеко от поворота на Гаврилово. Об этом 16 марта предупреждает пресс-служба ФКУ Упрдор «Северо-Запад». Работы ведутся в рамках реконструкции участков «Скандинавии» с 100-го по 122-й километр и со 122-го по 134 километр, выполняет их АО «ВАД».",Авто,2023-03-16 22:54:00,8229,3
https://www.fontanka.ru/2023/03/16/72139358/,"Суд в Петербурге отказался признавать, что предприниматель с Думской получил гражданство РФ обманом","Смольнинский райсуд рассмотрел дело по иску ГУ МВД России по Петербургу и Ленобласти к предпринимателю Руслану Чемыртану. Ведомство считает, что тот заполучил гражданство РФ обманом. Об этом 16 марта сообщает объединенная пресс-служба судов города.С 2014 года мужчина был женат на местной жительнице. Воссоединение семьи и стало основанием для получения уроженцем Молдавии гражданства России в 2018 году. Спустя восемь лет, в 2022 году, женщина рассказала, что в действительности брак был фиктивным. Она познакомилась с Чемыртаном в 2011 году — оба работали на ярмарке «Юнона». С лета 2013 года знакомый начал предлагать ей официально расписаться, хотя вместе они не жили. В следующем году она согласилась, но при условии, что тот будет помогать ей деньгами.  После того как штамп в паспорте был получен, они стали меньше общаться, финансовые отношения и вовсе прекратились. Летом 2015 года супруга уволилась из «Юноны» и пыталась выйти на Руслана, чтобы развестись, но он не шел навстречу. Только в 2018 году, после того как она передала ему информацию о своей якобы беременности, Руслан позвонил сам и согласился расторгнуть брак на следующий день. Известно, что дочь ответчика родилась в Петербурге, однако в мае 2018 года вместе с матерью — гражданкой Молдовы — выехала за пределы России. Однако в заявлении о приобретении гражданства Чемыртан указал, что ребенок находится в Молдове. В заявлении же о выдаче вида на жительство в РФ заявил, что дочь живет по адресу его российской супруги.  «По учетам ГУ МВД установлено, что ни он, ни его дочь никогда не были поставлены на миграционный учет по адресу супруги ответчика и она никогда не выступала принимающей стороной», — говорится в сообщении. По информации ведомства, Чемыртан развелся с россиянкой после получения гражданства и вернулся к матери своей дочери. При этом на всех этапах предоставлял недостоверную информацию.  «Истец просил установить факт предоставления Чемыртаном заведомо ложных сведений при приобретении гражданства РФ, в том числе при подаче заявления в 2017 году о приеме в гражданство РФ. Суд истцу отказал», — подытожили в пресс-службе.  В узком барном кругу Руслан Чемыртан известен как управляющий либо неформальный владелец нескольких заведений на Думской улице. Редакции «Фонтанки» он рассказывал, что продал там бизнес после того, как на него возбудили уголовное дело по 238-й статье УК РФ. Речь идет о продаже шариков с закисью азота в заведениях. Впоследствии он решил попытать удачу на улице Рубинштейна — там появился бар Major.",Общество,2023-03-16 22:36:00,9848,13
https://www.fontanka.ru/2023/03/16/72139004/,Когда счет идет на минуты. Что мешает спасти детей в российских школах,"В российских школах каждый год фиксируется порядка 200 смертей учеников. С каждой новой гибелью ребенка встает вопрос об оказании первой помощи. Решение проблемы давно известно. Это распространение автоматических дефибрилляторов и систематическое обучение учителей. О том, почему детей в школах не успевают реанимировать — карточки «Фонтанки». Текстовую версию материала читайте здесь.",Общество,2023-03-16 22:22:00,11900,32
https://www.fontanka.ru/2023/03/16/72139355/,СМИ: Турция перестала заправлять и обслуживать американские самолеты из РФ и Белоруссии,"В Турции власти приняли решение запретить заправку и техническое обслуживание самолетов американского производства из России и Белоруссии. Об этом 16 марта сообщило турецкое профильное издание AirportHaber.Отказ в заправке бортов в Стамбуле подтвердили источники газеты «Ъ» в двух авиакомпаниях. «Работаем над решением проблемы», — отметил один из собеседников. Как пишет Turizmguncel, по информации из отраслевых источников, российские самолеты, вылетев из Турции без топлива, приземляются в Сочи, дозаправляются и продолжают свой путь.  В пресс-службе «Аэрофлота» заявили, как передает ТАСС, что авиакомпания выполняет рейсы в Турцию в штатном режиме. Сейчас (21:58 мск) к Петербургу подлетает рейс «Аэрофлота» из Турции. Судя по сервису Flightradar24, он был выполнен без дополнительного приземления в Сочи. ",Туризм,2023-03-16 22:08:00,26317,85
https://www.fontanka.ru/2023/03/16/72139268/,Студентам Пензенского госуниверситета будут выдавать повестки вместе с дипломами,"Одновременно с дипломами об окончании обучения студентам Пензенского государственного университета будут выдавать повестки о необходимости прибыть в военкомат. Об этом 16 марта на брифинге рассказал военный комиссар Пензенской области Андрей Сурков, передает издание «Столица.58».По словам военкома региона, такая договоренность достигнута с Пензенским государственным университетом. Там открыли специальный военный центр. Теперь выпускники получат вместе с дипломами сразу повестки в военкомат. Как объяснил Сурков, это нужно, чтобы молодые люди сразу вставали на учет по своей военной специальности.  С другими вузами в регионе пока такой договоренности нет.",Общество,2023-03-16 21:57:00,16366,48
https://www.fontanka.ru/2023/03/16/72137648/,Малодетскосельский проспект и Батайский переулок ждут новые перекрытия,"Работы на сетях с 18 февраля добавят ограничений и перекрытий движения в Адмиралтейском и Колпинском районах Петербурга. Об этом 16 марта предупреждает пресс-служба государственной административно-технической инспекции.В Адмиралтейском районе продолжается реконструкция теплосети на участке Малодетскосельского проспекта от Серпуховской улицы до Московского проспекта. С 18 по 21 марта из-за работ перекроют проезд по Малодетскосельскому проспекту от Батайского переулка до Бронницкой улицы и по Батайскому переулку в направлении от Дойникова переулка к Малодетскосельскому проспекту, а также ограничат движение по участку Малодетскосельского от Московского проспекта до Батайского переулка. Объезд предусмотрен по Подольской улице, Клинскому, Московскому и Малодетскосельскому проспектам, Бронницкой и Серпуховской улицам, набережной Обводного канала и Дойникову переулку. Работы на объекте продлятся до 11 июня. И по 11 июня закрыто движение по Малодетскосельскому проспекту в направлении от Серпуховской улицы до Московского проспекта, включая перекрестки с Серпуховской и Бронницкой улицами. В Петро-Славянке с 18 марта по 29 апреля ограничат движение транспорта по Совхозному проспекту на участке от дома 6 до дома 20. Там будут прокладывать инженерные сети.",Город,2023-03-16 21:49:00,4493,2
https://www.fontanka.ru/2023/03/16/72139262/,Петербургский завод Nissan сменит название. Его назовут в честь российского автомобиля,"Бывший завод Nissan в Петербурге, который ранее перешел под управление «АвтоВАЗа», получит новое название — «Лада Санкт-Петербург». Об этом сообщил 16 марта глава компании Максим Соколов в кулуарах съезда РСПП.Впрочем, смену имени необходимо будет утвердить не только на правлении и совете директоров «АвтоВАЗа», но и с правительством Санкт-Петербурга. «Такое предложение мы внесли. Надеюсь, что оно в ближайшее время будет положительно рассмотрено», — сказал он (цитата по ТАСС).Nissan остановил производство на заводе в марте 2022 года, а затем продал его вместе с другими российскими активами ФГУП «НАМИ», подведомственному Минпромторгу РФ, за 1 евро. В 2023 году завод перешел к «АвтоВАЗу». Планируется, что предприятие возобновит работу во втором полугодии 2023 года. Оно будет выпускать машины под брендом LADA в сегментах С и D. Объем выпуска в текущем году может составить до 10 тысяч штук. В качестве партнера «АвтоВАЗ» планирует привлечь китайских производителей.",Бизнес,2023-03-16 21:33:00,22001,56
https://www.fontanka.ru/2023/03/16/72138989/,"Победить квитанцию, но не систему. Как в Петербурге борются с перетопными аномалиями в ЖКХ","Зимой цифры в квитанциях ЖКХ в Петербурге традиционно идут на взлет. Развернуть их, как показывала практика, в отдельных случаях возможно. О том, как именно, — карточки «Фонтанки». Текстовую версию материала читайте здесь.",Город,2023-03-16 21:21:00,15602,53
