url,title,content,topic,datetime,views,comments_amount
https://www.fontanka.ru/2023/07/29/72547286/,"Путин рассказал, грозит ли что-нибудь активам «недружественных» компаний по примеру Danone","В ближайшее время не намечается передачи активов «недружественных» иностранцев в госуправление, как это случилось с Danone и «Балтикой». Об этом 29 июля, отвечая на вопрос журналистки, заявил президент РФ Владимир Путин.«Пока ничего подобного не готовится, а то, что было, связано с тем, что менеджмент этих компаний пытался оказывать давление на российских граждан — своих работников, запугивая их увольнениями в случае проявления определенной гражданской позиции», — отметил он. Путин добавил, что Россия дружелюбно настроена к партнерам, которые не хотят уходить из страны, и то же касается банковского сектора.  «Мы ни у кого ничего не отбираем. Кстати, и эти-то решения — не отъем собственности, а передача управления, мы же собственность не забираем никуда», — также заявил Путин. У предприятий «Балтика» и Danone, которые перешли под управление государства РФ, сменились руководители. Danone заявила, что с ее баланса будет списано 200 миллионов евро, а еще 500 миллионов составит неденежная разница при пересчете курса рубля к евро.",Бизнес,2023-07-29 23:55:00,5997,17
https://www.fontanka.ru/2023/07/29/72547244/,В Петербурге на станции метро «Адмиралтейская» собралась толпа,"Нахмурившаяся погода поспособствовала тому, что гуляющие вечером 29 июля в центре Петербурга люди массово двинулись в метро. В результате в вестибюле станции метро «Адмиралтейская» оказались толпы людей. Видео «Фонтанке» прислала читательница. Ранее мы показывали «воротник» дождевой массы облаков, которая надвигалась на Петербург с Финского залива.МЧС предупреждало об ухудшении погоды к вечеру: усилении ветра до 15 метров в секунду и грозах.",Город,2023-07-29 23:46:00,19726,12
https://www.fontanka.ru/2023/07/29/72547280/,"Путин объяснил, почему обменивали пленных «азовцев»*","Президент России Владимир Путин объяснил «выгодой» решение об обмене пленными, в том числе передачу боевиков запрещенного в РФ полка «Азов»*. Российский лидер общается с прессой вечером 29 июля в Петербурге по итогам саммита Россия — Африка.Поднявший эту тему журналист вспомнил Иосифа Сталина, который якобы отказался от обмена взятого в плен фельдмаршала Фридриха Паулюса на его сына Якова. И спросил, стоит ли «обменивать нацистов, против которых мы боремся на Украине», или нужно действовать по примеру Сталина.«Сталин не просто солдата на маршала не менял, речь шла о его сыне, он имел моральное право принять такое решение, это разные вещи. Мы делали обмены, в том числе меняли наших летчиков на «азовцев». Когда это в наших интересах — все можно делать. Если это нам выгодно», — сказал Путин. Пятеро командиров «Азова»* были захвачены в плен в ходе боев на «Азовстали». Вместе с десятью иностранными гражданами в ДНР их приговорили к смертной казни. Однако приговор в исполнение не привели. 22 сентября 2022 года их в составе группы из 215 военнопленных со стороны Украины обменяли на 55 российских, среди которых был оппозиционный украинский политик Виктор Медведчук, которого в СМИ называют кумом Владимира Путина. Одним из основных условий нахождения азовцев на свободе было то, что они останутся в Турции до окончания боевых действий. Вечером 8 июля в телеграм-канале Зеленского появилось видео его встречи с боевиками нацбатальона в турецком аэропорту. Мужчины обнялись, сели в самолет и отправились на Украину. Это случилось после встречи президента Украины с турецким лидером Реджепом Эрдоганом. Подробнее об этой ситуации читайте здесь.Президент РФ Владимир Путин 29 июля на вопрос о возвращении Украине «азовцев» ответил немногословно. *Запрещен в РФ и признан террористической организацией.",Власть,2023-07-29 23:40:00,20463,21
https://www.fontanka.ru/2023/07/29/72547274/,«Я фамилии эти слышу в первый раз». Путин прокомментировал аресты Кагарлицкого* и Беркович,"Президент Владимир Путин прокомментировал сравнение 1937 и 2023 года в России в контексте громких арестов. По его словам, «определенное отношение» к тем, кто наносит «ущерб внутри страны», необходимо.  Вопрос 29 июля в ходе встречи президента с журналистами задал корреспондент «Коммерсанта» Андрей Колесников, попросив прокомментировать «тот факт, что в последнее время едва ли не единственным наказанием для сомневающейся части общества является арест». «Я назову фамилии. Например, Борис Кагарлицкий* на днях, Евгения Беркович далеко не на днях, — уточнил Колесников. — Люди арестованы за произнесенные или написанные слова. Нормально ли это? У нас же, слава Богу, не 37-й год сейчас, или уже думают некоторые: а может, и 37-й?»  Владимир Путин ответил, что сейчас 2023-й, а страна находится в вооруженном конфликте с соседом. «Думаю, что определенное отношение к людям, которые наносят нам ущерб внутри страны, должно быть, — заявил президент. — Я могу честно сказать, я не знаю, о ком вы говорите. Я фамилии эти слышу в первый раз и не очень понимаю, что они сделали, что с ними сделали, я просто говорю вам о своем отношении в целом к проблеме. На Украине за это расстреливают, ну не за это, за подобные… Это не значит, что мы должны так поступать. Но мы должны иметь в виду, что для того, чтобы нам добиваться успехов, в том числе в зоне боевых действий, нам нужно соблюдать всем определенные правила».  Владимир Путин допустил, что перечисленные Колесниковым, может быть, не заслуживают того, как с ними поступили, но попросил рассказать ему о ситуации конкретнее.   Ранее социолога Бориса Кагарлицкого* суд отправил под стражу до 24 сентября по уголовному делу о публичном оправдании терроризма, совершенном с использованием информационно-коммуникационных сетей, в том числе сети «Интернет». Незадолго до этого арестован был также бывший министр обороны ДНР Игорь Стрелков, обвиняемый в публичных призывах к экстремистской деятельности.  Театральному режиссеру Евгении Беркович и драматургу пьесы «Финист Ясный Сокол» Светлане Петрийчук в конце июня продлили арест до 10 сентября. Им вменяют оправдание терроризма. *Внесен Минюстом РФ в реестр иностранных агентов.",Общество,2023-07-29 23:35:00,15898,78
https://www.fontanka.ru/2023/07/29/72547277/,Путин ответил на вопрос о поездке в Турцию в августе,"Президент РФ Владимир Путин ответил на вопросы о поездке в Турцию в августе и о газовом хабе в субботу, 29 июля, после саммита Россия — Африка.По словам президента, тема газового хаба остается в повестке — речь идет о создании электронной торговой площадки. «Мы не собираемся газ хранить там в больших количествах», — сказал Путин.Президент РФ добавил, что была договоренность о телефонном разговоре с главой Турции Эрдоганом. Однако обоим лидерам не подошло время. Путин уточнил, что договорился о разговоре с президентом Турции в предстоящую среду. Также Владимир Путин ответил на вопрос журналистов о поездке в Турцию. По его словам, договоренность о встрече с турецким лидером есть. «Или я поеду, или он приедет», — ответил глава государства (цитата по РБК). ",Политика,2023-07-29 23:35:00,7452,14
https://www.fontanka.ru/2023/07/29/72547268/,Путин рассказал о реализуемых мирных инициативах Африки по Украине,"Страны африканского континента хорошо относятся к Украине и предлагали разные способы мирного урегулирования конфликта. Среди них есть такие, которые уже выполняются, и трудновыполнимые. Об этом президент России Владимир Путин рассказал журналистам.«Они в общем и целом к Украине относятся хорошо. И искренне, я хочу это подчеркнуть, искренне думают о том, что бы сделать такого, чтобы конфликт был прекращен, — сказал глава государства, отвечая на вопрос корреспондента РИА Новости. — Они делают это не только и не столько под давлением извне, а исходя из внутренних побуждений. Некоторые учились там, на Украине. Правда, на русском языке, естественно. И националисты на Украине им не нравились и тогда, и сейчас». Президент пояснил, что любая мирная инициатива хороша тем, что направлена на поиск мирного решения конфликта. В списке инициатив есть такие, которые уже и так реализуются. Например, это «обмен пленными, обмен удерживаемыми лицами, решение вопросов семейного, гуманитарного характера, связанного с детьми и так далее». «Есть вещи трудно реализуемые или нереализуемые. Например, один из пунктов — это прекращение огня», — отметил глава государства.  «К нам-то чего обращаться за прекращением огня? Мы же не можем прекратить огонь, когда на нас наступают. Я вот это когда говорю, люди задумываются. Или, например, начать мирные переговоры. А мы не отказывались», — добавил президент. Он напомнил про украинский декрет, запрещающий вести переговоры.",Политика,2023-07-29 23:29:00,3080,7
https://www.fontanka.ru/2023/07/29/72547262/,Путин ответил на вопрос о передаче Турцией «азовцев»* Украине,"Президент РФ Владимир Путин коротко ответил на вопрос о решении Турции передать командиров запрещенного и признанного в РФ террористическим нацбатальона «Азов»* назад на Украину. Российский лидер общается с прессой вечером 29 июля в Петербурге по итогам саммита Россия — Африка.Вопрос журналистки был о мнении Путина по этому поводу и повлияет ли данная ситуация на отношения с президентом Турции Реджепом Эрдоганом.«Договоренности были. Других комментариев не будет», — сказал Путин.Пятеро освобожденных из плена азовцев 8 июля вместе с президентом Украины Владимиром Зеленским прилетели из Турции во Львов, где заявили о намерении продолжить участие в боевых действиях. Это произошло вопреки договоренностям Москвы, Анкары и Киева о том, что боевики должны находиться в Турции до окончания конфликта. Эрдоган хотел обсудить эту тему с Путиным. Глава комитета Госдумы по обороне Андрей Картаполов заявил, что бойцов передали «на утилизацию», а президент Турции для Москвы «другом никогда не был». Всё, что известно о ситуации, можно прочитать здесь.*Запрещен в РФ и признан террористической организацией.",Власть,2023-07-29 23:17:00,12209,20
https://www.fontanka.ru/2023/07/29/72547256/,«Не считаю своим делом управление войсками». Путин рассказал об изменениях на фронте,"Президент Владимир Путин рассказал журналистам об изменениях, которые сейчас происходят на фронте. При этом ежечасную связь с войсками он отрицает.  Вопрос о положении дел на фронте задал президенту 29 июля журналист Первого канала, начав его с предположения, что глава государства «ежечасно на связи с боевыми подразделениями». Путин перебил его, чтобы опровергнуть это и подчеркнуть, что «не считает своим делом управление войсками». К тому же люди на передовой, по его словам, должны пользоваться только специальными средствами связи по соображениям безопасности. При этом президент по несколько раз в день связывается с Минобороны, а если нужно — то и с конкретными подразделениями.   Говоря об обстановке на фронте, Путин заявил, что серьезных изменений нет, предположив, что «противник отвел свои штурмовые подразделения в места восстановления боеспособности», так как они понесли большие потери в живой силе и технике. Среди изменений президент подчеркнул, что сейчас украинская бронетехника подвозит людей на передний край, высаживает и «сразу исчезает», а в атаки идут в пешем порядке. «Таких активных действий, как было 2 дня назад, сейчас не наблюдается, — подчеркнул он. — Везде противник остановлен, отброшен». Кроме того, на отдельных участках российские войска сами переходят в контрнаступление.",Общество,2023-07-29 23:09:00,6800,38
https://www.fontanka.ru/2023/07/29/72547241/,У Яхтенного моста из воды спасли девушку. Скоро туда снова отправились спасатели,"Девушке, попавшей в воду у Яхтенного моста, потребовалась помощь спасателей. Позже в том же районе перевернулась байдарка.О том, что девушка упала с катера в воду, сообщили очевидцы, рассказали 29 июля «Фонтанке» в пресс-службе ГУ МЧС по Петербургу. Силами поисково-спасательной службы ее нашли и доставили на берег. Вскоре неподалеку спасли двоих человек, оказавшихся в воде после переворота байдарки. Напомним, в МЧС предупреждали, что вечером субботы в Петербурге местами ожидается усиление ветра до 15 метров в секунду и гроза.Несколько дней назад у берегов Васильевского острова затонула яхта, один человек погиб. «Фонтанка» подробно рассказывала о происшествии.",Происшествия,2023-07-29 23:02:00,5608,1
https://www.fontanka.ru/2023/07/29/72547250/,Путин рассказал о мнении Африки о России,"Президент РФ Владимир Путин рассказал об отношении Африки к России в нынешнее время. Об этом глава государства рассказал в субботу, 29 июля, на пресс-конференции после саммита Россия — Африка.Африка помнит конкретную помощь Советского Союза в ее освобождении. Его «голос и автомат Калашникова», сказал Путин.Страны Африки «не просят никаких подачек» у России». По мнению президента РФ Владимира Путина, в целом Африканский континент настроен к РФ дружественно и положительно, хотя там есть разные политики в разных государствах.«Но в целом Африканский континент к нам настроен в высшей степени дружественно и положительно», — сказал глава государства.",Политика,2023-07-29 22:51:00,13380,25
