url,title,content,topic,datetime,views,comments_amount
https://www.fontanka.ru/2022/06/12/news.html,"Посмотрите, как бриг «Россия» на Неве расправляет алые паруса перед началом репетиции","Петербуржцы и гости города получили приятный сюрприз на День России и смогут полюбоваться на бриг «Россия» с алыми парусами в ночь на 13 июня. Совсем скоро в акватории Невы начнется репетиция праздника выпускников. Сейчас бриг расправляет паруса.  В связи с празднованием Дня России в ночь на 13 июня в городе останутся сведенными мосты. Исключением станут Дворцовый и Благовещенский, которые разведут для репетиции праздника. Дворцовый мост будет разведен с 00:30 до 02:45, Благовещенский — с 22:50 до 23:25 и с 02:20 до 02:55. В этом году праздник выпускников школ собираются провести в ночь на 25 июня. На его организацию и трансляцию в прямом эфире планируется потратить почти 35 млн рублей.",Город,2022-06-12 22:50:00,24374,9
https://www.fontanka.ru/2022/06/12/news.html,"В Петропавловской крепости в честь юбилея Петра I играли духовые оркестры. Посмотрите, как это было","В Петропавловской крепости 12 июня выступили больше 450 музыкантов из российских и белорусских духовых оркестров. Главной темой фестиваля было 350-летие со дня рождения Петра I.Днем на Соборной площади прошло праздничное дефиле оркестров, а специальными гостями шоу были победительница телепроекта «Точь-в-точь» Анастасия Макеева, лидер «Двух звёзд» Марк Тишман и участники «Голоса» Александра Славгородская и Мирослав Федючек. Организатор фестиваля — комитет по развитию туризма Петербурга.",Город,2022-06-12 21:43:00,10412,11
https://www.fontanka.ru/2022/06/12/news.html,Netflix анонсировал второй сезон «Игры в кальмара»,"Стриминговый сервис Netfliх официально анонсировал второй сезон сериала «Игра в кальмара». Компания опубликовала тизер 12 июня в соцсетях.Кроме того, Netflix опубликовал обращение режиссера сериала Хван Дон Хёка. Он написал, что во втором сезоне «Игры в кальмара» зрители увидят главного героя прошлых серий, Сон Ки Хуна, ведущего игры и парня куклы из эпизода про игру «Тише едешь — дальше будешь». Как уже говорил режиссер ранее, продолжение сериала выйдет не раньше конца 2023 года.Первый сезон южнокорейского сериала «Игра в кальмара» вышел в сентябре 2021 года. В центре сюжетной линии — группа отчаявшихся людей, которые согласились принять участие в турнире на выживание, победителю которого достанется крупная сумма. «Игра в кальмара» стала рекордсменом Netflix, за первые 17 дней после выхода на стриминг-платформе его посмотрели пользователи со 111 миллионов аккаунтов. Это абсолютный рекорд сетевых просмотров на сервисе. Получится ли у зрителей посмотреть продолжение сериала легально, пока неизвестно. На данный момент сервис прекратил свою работу в России. ",Общество,2022-06-12 21:25:00,13070,7
https://www.fontanka.ru/2022/06/12/news.html,В порту Судана затонуло судно с 16 тысячами овец на борту,"Судно с овцами затонуло в суданском порту Суакин на побережье Красного моря. Животных должны были доставить в Саудовскую Аравию в преддверии мусульманского праздника Ид аль-Адха (праздник жертвоприношения), передает телеканал Sky News Arabia 12 июня. «Судно BADR 1, на которое были погружены 15 800 овец для отправки в Саудовскую Аравию, затонуло у пристани. Экипаж спасся», — говорится в сообщении. Причиной инцидента стал перегруз. Максимальный тоннаж был рассчитан на 12 тысяч животных. Власти порта уже заявили о серьезной экологической угрозе для Красного моря из-за массовой гибели скота.",Происшествия,2022-06-12 21:20:00,13382,13
https://www.fontanka.ru/2022/06/12/news.html,"В Узбекистане жених ударил невесту на свадьбе за то, что она выиграла в конкурсе","В соцсетях распространяется видео, на котором жених на глазах у гостей ударил свою невесту на свадьбе. Как пишет 12 июня Sputnik Кыргызстан, инцидент, предположительно, произошел в Узбекистане. Как утверждают СМИ, девушка выиграла у жениха в конкурсе от тамады. На кадрах видно, как невеста поднимает руку и ей аплодируют. После этого мужчина бьет ее по голове, а невеста уходит от агрессора в сторону.  Что произошло дальше, пока неизвестно.",Происшествия,2022-06-12 21:00:00,142289,49
https://www.fontanka.ru/2022/06/12/news.html,В больнице Владикавказа родня пожилого таксиста расправилась с пассажиром-агрессором,"Конфликт пассажира с таксистом во Владикавказе закончился поножовщиной и смертью обидчика. Родственники, заступившиеся за пожилого водителя, устроили расправу прямо в больнице.Первая стычка произошла накануне вечером возле дома на улице Маркуса, сообщает 12 июня Следственный комитет республики Северная Осетия — Алания. По данным ведомства, во время конфликта один мужчина порезал другого. Baza уточняет, что 79-летний таксист подвозил 35-летнего клиента, который и пырнул пожилого человека ножом в живот. В результате водитель в тяжелом состоянии оказался в реанимации республиканской больницы. По факту возбудили уголовное дело о причинении тяжкого вреда здоровью.  Подозреваемого задержали тем же вечером и в сопровождении сотрудников полиции доставили в ту же больницу, поскольку в ходе ссоры он получил травму руки. Ранним утром 12 июня поддержать таксиста приехали его сын с другом. Они зашли в смотровой кабинет, где с забинтованной рукой сидел вероятный агрессор. По предварительной информации, сын дважды ударил мужчину ножом. На появившейся в Сети видеозаписи видно, что его пытались остановить сотрудники полиции. Но в этот момент в кабинет ворвался его друг и несколько раз выстрелил в грудь подозреваемого из пистолета. От полученных ранений мужчина скончался на месте.  Возбуждено уголовное дело об убийстве группой лиц. 57-летние подозреваемые задержаны. Решается вопрос об избрании меры пресечения в виде заключения под стражу.",Происшествия,2022-06-12 20:52:00,37851,21
https://www.fontanka.ru/2022/06/12/news.html,Автобусы пяти маршрутов изменили трассу из-за пожара на Обводном канале,"«Организатор перевозок» сообщает об изменении маршрутов автобусов в Адмиралтейском районе из-за пожара на «Красном треугольнике».Как сообщает ГКУ в своем телеграм-канале 12 июня, временно изменены трассы автобусов № 65, 67, 67Б, 70, 71. «Фонтанка» писала о том, что пожар на одноэтажном здании на территории «Красного треугольника» на набережной Обводного канала, 134 начался в 16:18. Из-за быстрого распространения огня возгоранию был присвоен повышенный номер сложности 1БИС. Выгорело сто квадратных метров. Пожар локализовали в 18:44.",Происшествия,2022-06-12 20:43:00,5820,0
https://www.fontanka.ru/2022/06/12/news.html,Дворцовый мост в честь праздника подсветят цветами российского флага,"В Петербурге Дворцовый мост и чугунные опоры Большого проспекта Петроградской стороны подсветят в честь Дня России цветами государственного триколора, рассказали 12 июня в Смольном.Праздничное оформление должно включиться после захода солнца — в 23:15.В администрации уточнили, что для подсветки моста используют около 600 светильников, а для оформления чугунных фонарей на Петроградской стороне — 113. Из-за празднования Дня России в Петербурге не будут разводить большинство мостов. Дворцовый и Благовещенский мосты станут исключением. Их разведут по особому графику в связи с репетицией праздника «Алые паруса».",Город,2022-06-12 20:22:00,5522,4
https://www.fontanka.ru/2022/06/12/news.html,Швеция запретила Tetra Pak экспортировать продукцию в Россию,"Национальный совет по вопросам торговли Швеции запретил упаковочной компании Tetra Pak экспортировать продукцию в Россию, пишет 12 июня газета Dagens Nyheter.Производитель упаковки просил совет сделать для него исключение «из гуманитарных соображений», несмотря на санкции ЕС. Имеющий производство в РФ Tetra Pak утверждал, что производит 7 упаковок для сока и молока из 10, продаваемых в России. Кроме того, в компании заявили, что российские власти могут национализировать активы Tetra Pak в стране. По их словам, это «даст России доступ к технологиям, которых у нее сейчас нет». Национальный совет по вопросам торговли Швеции не посчитал доводы компании убедительными.",Бизнес,2022-06-12 20:10:00,19820,68
https://www.fontanka.ru/2022/06/12/news.html,"Пострадавший на файер-шоу под Воронежем заявил, что артист выстрелил в зрителей из огнемёта","В Воронежской области пострадавший во время уличного файер-шоу рассказал, что уже после отлетевшей в зрителей горящей верёвки артист выстрелил в толпу из огнемёта. Об этом 12 июня пишет «Газета.Ru».«Среди прочего реквизита были огнеметы, выстреливали пламенем около пяти метров, собственно, от выстрела такого огнемета в толпу и произошел максимальный ущерб здоровью. После отлетевшего горящего реквизита участник с огнеметом повернулся в сторону зрителей и выстрелил прямо в толпу. Непонятно действие артиста», — заявил мужчина. По его словам, после произошедшего с ним не связывались ни организаторы шоу, ни полицейские. Мужчина добавил, что собирается писать на инициаторов проведения мероприятия заявление в полицию. Накануне вечером в селе Каширское во время файер-шоу горящая веревка отлетела в толпу. Несколько человек, в том числе ребенок, получили ожоги. Проводится проверка.",Происшествия,2022-06-12 19:43:00,11376,1
